favorite_count,retweet_count,tweet_id
33710,6975,892420643555336193
29237,5276,892177421306343426
21983,3466,891815181378084864
36809,7197,891689557279858688
35192,7721,891327558926688256
17754,2589,891087950875897856
10336,1648,890971913173991426
56686,15689,890729181411237888
24433,3605,890609185150312448
27860,6074,890240255349198849
26957,6115,890006608113172480
24494,4142,889880896479866881
41888,8306,889665388333682689
23590,3701,889638837579907072
13316,1874,889531135344209921
22038,4424,889278841981685760
25537,3745,888917238123831296
22398,3517,888804989199671297
17257,2865,888554962724278272
19105,2885,888078434458587136
26541,4520,887705289381826560
40602,9814,887517139158093824
59997,14962,887473957103951883
29501,8780,887343217045368832
26901,4972,887101392804085760
30263,6289,886983233522544640
10461,2618,886736880519319552
19664,3722,886680336477933568
18493,2614,886366144734445568
105,4,886267009285017600
24438,5259,886258384151887873
0,93,886054160059072513
28486,5590,885984800019947520
31498,5308,885528943205470208
17949,3100,885518971528720385
0,15377,885311592912609280
19194,3654,885167619883638784
67063,14950,884925521741709313
24312,4641,884876753390489601
21254,3896,884562892145688576
23794,4778,884441805382717440
63042,16833,884247878851493888
17898,2493,884162670584377345
19099,2849,883838122936631299
40059,8230,883482846933004288
19885,3061,883360690899218434
32400,5512,883117836046086144
20923,3231,882992080364220416
24701,4080,882762694511734784
24537,5045,882627270321602560
39066,9586,882268110199369728
25636,4069,882045870035918850
21386,2841,881906580714921986
44418,8919,881666595344535552
113,8,881633300179243008
43310,13353,881536004380872706
20437,4485,881268444196462592
15003,2326,880935762899988482
18665,3193,880872448815771648
24938,5194,880465832366813184
23585,3450,880221127280381952
24241,3637,880095782870896641
19644,2916,879862464715927552
282,9,879674319642796034
20656,2619,879492040517615616
92549,37291,879415818425184262
14809,2635,879376492567855104
0,5714,879130579576475649
19751,3935,879050749262655488
16732,2232,879008229531029506
17085,3421,878776093423087618
26358,5900,878604707211726852
0,1073,878404777348136964
0,5502,878316110768087041
6759,1073,878281511006478336
37033,5714,878057613040115712
69075,15740,877736472329191424
0,70,877611172832227328
19844,3154,877556246731214848
24080,4323,877316821321428993
23801,4604,877201837425926144
18176,2795,876838120628539392
20999,3963,876537666061221889
16515,1991,876484053909872640
24619,3890,876120275196170240
22039,3569,875747767867523072
19374,4133,875144289856114688
24177,5096,875097192612077568
22496,3955,875021211251597312
24531,3908,874680097055178752
0,12162,874434818259525634
22898,3472,874296783580663808
20057,3369,874057562936811520
30036,8554,874012996292530176
21321,3333,873580283840344065
0,1327,873337748698140672
6300,1327,873213775632977920
23989,4546,872967104147763200
13038,3158,872820683541237760
18279,3058,872620804844003328
36009,7689,872486979161796608
30119,6806,872122724285648897
32992,9212,871879754684805121
17828,2959,871762521631449091
17847,2927,871515927908634625
0,4880,871166179821445120
18493,4658,871102520638267392
20107,3214,871032628920680449
29722,5266,870804317367881728
105,3,870726314365509632
10861,2190,870656317836468226
73749,22666,870374049280663552
19430,3536,870308999962521604
32330,7052,870063196459192321
37914,8662,869772420881756160
24977,5366,869702957897576449
14149,2629,869596645499047938
18092,3192,869227993411051520
